chrom	position	freq	type	variants_included
2L	50000	50.8173404255319	normal_freq	94
2L	50000	52.2273404255319	tum_freq	94
2L	150000	51.7300884955752	normal_freq	113
2L	150000	53.0879646017699	tum_freq	113
2L	250000	57.2698449612403	normal_freq	129
2L	250000	58.0109302325581	tum_freq	129
2L	350000	63.540205479452	normal_freq	146
2L	350000	64.1222602739726	tum_freq	146
2L	450000	65.1600865800866	normal_freq	231
2L	450000	64.8430735930736	tum_freq	231
2L	550000	59.76378125	normal_freq	320
2L	550000	59.7938125	tum_freq	320
2L	650000	60.2041363636364	normal_freq	220
2L	650000	59.8515909090909	tum_freq	220
2L	750000	61.9429045643154	normal_freq	241
2L	750000	60.9157261410788	tum_freq	241
2L	850000	61.3208653846154	normal_freq	208
2L	850000	63.4655288461538	tum_freq	208
2L	950000	65.2432270916335	normal_freq	251
2L	950000	63.8769322709163	tum_freq	251
2L	1050000	62.7501104972376	normal_freq	362
2L	1050000	63.665	tum_freq	362
2L	1150000	63.2592905405406	normal_freq	296
2L	1150000	63.5005743243244	tum_freq	296
2L	1250000	64.5324126984127	normal_freq	315
2L	1250000	64.4205714285715	tum_freq	315
2L	1350000	64.8344720496894	normal_freq	322
2L	1350000	64.7423602484472	tum_freq	322
2L	1450000	61.0393698630137	normal_freq	365
2L	1450000	60.7266027397261	tum_freq	365
2L	1550000	62.7219602272727	normal_freq	352
2L	1550000	64.0625852272728	tum_freq	352
2L	1650000	64.2115349887133	normal_freq	443
2L	1650000	63.1150564334086	tum_freq	443
2L	1750000	67.6513783783784	normal_freq	370
2L	1750000	66.3917567567567	tum_freq	370
2L	1850000	62.7361473087819	normal_freq	353
2L	1850000	62.6073371104816	tum_freq	353
2L	1950000	57.208574879227	normal_freq	414
2L	1950000	57.7695652173913	tum_freq	414
2L	2050000	66.1050197628458	normal_freq	253
2L	2050000	65.9441106719368	tum_freq	253
2L	2150000	64.0168240343348	normal_freq	233
2L	2150000	64.1738197424893	tum_freq	233
2L	2250000	60.8445348837209	normal_freq	258
2L	2250000	61.1185271317829	tum_freq	258
2L	2350000	64.413119266055	normal_freq	327
2L	2350000	64.3049847094802	tum_freq	327
2L	2450000	60.95352	normal_freq	250
2L	2450000	60.9254	tum_freq	250
2L	2550000	59.6466216216216	normal_freq	370
2L	2550000	60.3562702702703	tum_freq	370
2L	2650000	65.6970085470086	normal_freq	351
2L	2650000	65.225584045584	tum_freq	351
2L	2750000	62.7822842639594	normal_freq	394
2L	2750000	63.659923857868	tum_freq	394
2L	2850000	65.1166587677725	normal_freq	422
2L	2850000	64.5577962085308	tum_freq	422
2L	2950000	99.216	normal_freq	140
2L	2950000	99.0625714285714	tum_freq	140
2L	3050000	69.5840397350994	normal_freq	151
2L	3050000	67.3655629139073	tum_freq	151
2L	3150000	63.093423180593	normal_freq	371
2L	3150000	62.3220485175202	tum_freq	371
2L	3250000	60.942119205298	normal_freq	453
2L	3250000	59.4112803532009	tum_freq	453
2L	3350000	61.9425158562368	normal_freq	473
2L	3350000	61.8129598308668	tum_freq	473
2L	3450000	61.3891954022989	normal_freq	522
2L	3450000	61.2425095785441	tum_freq	522
2L	3550000	60.2010858585858	normal_freq	396
2L	3550000	59.3943434343434	tum_freq	396
2L	3650000	63.0813596491228	normal_freq	456
2L	3650000	62.5581798245614	tum_freq	456
2L	3750000	61.4892094017094	normal_freq	468
2L	3750000	62.5425427350427	tum_freq	468
2L	3850000	78.5665957446809	normal_freq	329
2L	3850000	78.070547112462	tum_freq	329
2L	3950000	69.5628	normal_freq	350
2L	3950000	68.3648571428572	tum_freq	350
2L	4050000	69.8331984585742	normal_freq	519
2L	4050000	70.0909248554913	tum_freq	519
2L	4150000	61.7765120593692	normal_freq	539
2L	4150000	61.7653246753247	tum_freq	539
2L	4250000	64.0741176470588	normal_freq	306
2L	4250000	64.2310130718954	tum_freq	306
2L	4350000	59.9147741935484	normal_freq	310
2L	4350000	58.1677741935484	tum_freq	310
2L	4450000	62.5327777777778	normal_freq	288
2L	4450000	62.1420486111111	tum_freq	288
2L	4550000	60.6511875	normal_freq	160
2L	4550000	62.038	tum_freq	160
2L	4650000	62.3541025641025	normal_freq	273
2L	4650000	63.0181318681318	tum_freq	273
2L	4750000	59.2245215311004	normal_freq	418
2L	4750000	60.226028708134	tum_freq	418
2L	4850000	59.6365798045603	normal_freq	307
2L	4850000	61.042671009772	tum_freq	307
2L	4950000	55.2678658536585	normal_freq	328
2L	4950000	54.2909146341463	tum_freq	328
2L	5050000	55.3209420289855	normal_freq	138
