chrom	position	freq	type	variants_included
2L	50000	64.4882870370371	normal_freq	216
2L	50000	63.3121759259259	tum_freq	216
2L	150000	53.9359241706161	normal_freq	211
2L	150000	54.222654028436	tum_freq	211
2L	250000	57.9791065292096	normal_freq	291
2L	250000	58.5272852233677	tum_freq	291
2L	350000	63.8572602739726	normal_freq	365
2L	350000	63.9849589041096	tum_freq	365
2L	450000	62.4221571906354	normal_freq	598
2L	450000	62.7764381270903	tum_freq	598
2L	550000	63.3663564356436	normal_freq	1010
2L	550000	63.3542871287129	tum_freq	1010
2L	650000	62.8322668579627	normal_freq	697
2L	650000	63.124519368723	tum_freq	697
2L	750000	70.4708377659575	normal_freq	752
2L	750000	70.0238430851064	tum_freq	752
2L	850000	68.289541511772	normal_freq	807
2L	850000	67.9901115241636	tum_freq	807
2L	950000	67.2784072580645	normal_freq	992
2L	950000	67.091441532258	tum_freq	992
2L	1050000	65.0290611541774	normal_freq	1161
2L	1050000	65.6954866494401	tum_freq	1161
2L	1150000	63.9948510638298	normal_freq	940
2L	1150000	63.8327340425532	tum_freq	940
2L	1250000	65.1468488372094	normal_freq	860
2L	1250000	64.6176976744186	tum_freq	860
2L	1350000	67.0471971496437	normal_freq	842
2L	1350000	67.1164726840856	tum_freq	842
2L	1450000	62.939	normal_freq	990
2L	1450000	62.188595959596	tum_freq	990
2L	1550000	62.0509782608695	normal_freq	736
2L	1550000	61.5939402173913	tum_freq	736
2L	1650000	64.1910295434199	normal_freq	1117
2L	1650000	64.0011101163832	tum_freq	1117
2L	1750000	66.2988888888889	normal_freq	1017
2L	1750000	65.5369026548673	tum_freq	1017
2L	1850000	66.5405041031653	normal_freq	853
2L	1850000	66.2681594372802	tum_freq	853
2L	1950000	62.1672105263159	normal_freq	1140
2L	1950000	62.1926140350877	tum_freq	1140
2L	2050000	70.1345218417946	normal_freq	847
2L	2050000	69.9037780401417	tum_freq	847
2L	2150000	64.7562298025134	normal_freq	557
2L	2150000	65.2417953321365	tum_freq	557
2L	2250000	64.0729941002951	normal_freq	678
2L	2250000	64.4619026548672	tum_freq	678
2L	2350000	66.395955967555	normal_freq	863
2L	2350000	66.1319582850522	tum_freq	863
2L	2450000	62.3291285081241	normal_freq	677
2L	2450000	62.3707533234859	tum_freq	677
2L	2550000	64.2709384164224	normal_freq	1023
2L	2550000	63.2762463343109	tum_freq	1023
2L	2650000	65.8816794731065	normal_freq	911
2L	2650000	66.0898463227223	tum_freq	911
2L	2750000	63.5117984189724	normal_freq	1012
2L	2750000	62.2734782608696	tum_freq	1012
2L	2850000	65.9272571942446	normal_freq	1112
2L	2850000	65.6799280575538	tum_freq	1112
2L	2950000	99.2352297592998	normal_freq	457
2L	2950000	99.2117286652079	tum_freq	457
2L	3050000	78.2195623632386	normal_freq	457
2L	3050000	78.230284463895	tum_freq	457
2L	3150000	63.1194517282479	normal_freq	839
2L	3150000	62.6598688915375	tum_freq	839
2L	3250000	65.7128626692456	normal_freq	1034
