chrom	position	window	dist_ratio	count
2L	35000	30000-39999	0.920924363510404	21
2L	45000	40000-49999	1.00269076509113	30
2L	65000	60000-69999	0.970419380201457	22
2L	85000	80000-89999	0.962267649376535	38
2L	95000	90000-99999	0.93212241506647	22
2L	105000	100000-109999	1.17009407649033	22
2L	115000	110000-119999	0.932052471845293	33
2L	125000	120000-129999	0.848342029961286	22
2L	135000	130000-139999	0.992011834319527	29
2L	145000	140000-149999	0.810121144428216	21
2L	165000	160000-169999	0.945361734308041	28
2L	215000	210000-219999	0.946582978536628	20
2L	225000	220000-229999	0.904708827095311	30
2L	255000	250000-259999	1.0107600306247	41
2L	265000	260000-269999	0.996387552763326	54
2L	275000	270000-279999	0.905217437646558	25
2L	285000	280000-289999	0.92662780080073	36
2L	295000	290000-299999	0.915268456375839	31
2L	305000	300000-309999	0.876633131515455	34
2L	315000	310000-319999	0.924998616210631	38
2L	325000	320000-329999	0.90496610995437	57
2L	335000	330000-339999	0.956032598678147	67
2L	345000	340000-349999	0.75519872200953	40
2L	375000	370000-379999	0.979533487716211	23
2L	385000	380000-389999	0.989368538954481	31
2L	395000	390000-399999	0.984334514697561	48
2L	405000	400000-409999	0.773837579022182	47
2L	415000	410000-419999	0.999458939521462	37
2L	425000	420000-429999	0.978024483634334	47
2L	435000	430000-439999	0.948058162098939	30
2L	445000	440000-449999	1.0010730553609	34
2L	455000	450000-459999	0.964886258289952	27
2L	465000	460000-469999	0.975707340269408	63
2L	475000	470000-479999	1.05596091560828	64
2L	485000	480000-489999	1.02929567324797	115
2L	495000	490000-499999	0.956216831664061	132
2L	505000	500000-509999	0.965171931374714	80
2L	515000	510000-519999	0.946481295685825	77
2L	525000	520000-529999	0.965680075474728	101
2L	535000	530000-539999	0.938966119779184	99
2L	545000	540000-549999	1.00109184177707	105
2L	555000	550000-559999	0.982232477491061	179
2L	565000	560000-569999	0.955700059506313	82
2L	575000	570000-579999	0.96479632806078	91
2L	585000	580000-589999	0.947086728252881	104
2L	595000	590000-599999	0.932900548076411	66
2L	605000	600000-609999	1.00042419921117	62
2L	615000	610000-619999	1.03972354936989	105
2L	625000	620000-629999	1.00244774890547	93
2L	635000	630000-639999	1.01408760094572	110
2L	645000	640000-649999	1.03327643219102	97
2L	655000	650000-659999	0.960799202695648	46
2L	665000	660000-669999	0.915778189825009	103
2L	675000	670000-679999	0.774508132437686	22
2L	685000	680000-689999	0.846307892812867	31
2L	705000	700000-709999	1.00632643872497	76
2L	715000	710000-719999	0.852156229825694	80
2L	725000	720000-729999	1.01367201176388	80
2L	735000	730000-739999	0.983272891414854	44
2L	745000	740000-749999	1.00202740780449	61
2L	755000	750000-759999	1.00415631069989	39
2L	765000	760000-769999	0.990124613327869	104
2L	775000	770000-779999	0.953109771118275	79
2L	785000	780000-789999	0.962047626887208	52
2L	795000	790000-799999	0.967502766998706	114
2L	805000	800000-809999	0.997280837614145	115
2L	815000	810000-819999	0.975989014151681	64
2L	825000	820000-829999	1.08194314577089	49
2L	835000	830000-839999	0.983173145076692	91
2L	845000	840000-849999	0.982104401104068	80
2L	855000	850000-859999	0.973744534200011	94
2L	865000	860000-869999	0.904920677601506	57
2L	875000	870000-879999	0.964684217540374	69
2L	885000	880000-889999	0.907963316080995	86
2L	895000	890000-899999	0.945722887878501	93
2L	905000	900000-909999	0.945220247378521	91
2L	915000	910000-919999	0.996259422778611	103
2L	925000	920000-929999	0.901055874430973	76
2L	935000	930000-939999	0.943474146532128	102
2L	945000	940000-949999	0.962761317108271	112
2L	955000	950000-959999	0.982304522555025	109
2L	965000	960000-969999	0.990969781715587	134
2L	975000	970000-979999	0.951851175623313	93
2L	985000	980000-989999	1.01362987614738	58
2L	995000	990000-999999	1.03241049681359	94
2L	1005000	1000000-1009999	0.857567694474879	66
2L	1015000	1010000-1019999	0.934211661204072	85
2L	1025000	1020000-1029999	0.997061746710996	196
2L	1035000	1030000-1039999	0.989855159205171	173
2L	1045000	1040000-1049999	0.960197213009697	119
2L	1055000	1050000-1059999	0.786727991157076	72
2L	1065000	1060000-1069999	1.0808737382095	109
2L	1075000	1070000-1079999	0.961379428582954	71
2L	1085000	1080000-1089999	0.996854475284448	119
2L	1095000	1090000-1099999	1.00432365251643	134
2L	1105000	1100000-1109999	1.02594815599405	96
2L	1115000	1110000-1119999	0.912958674110623	114
2L	1125000	1120000-1129999	0.994205660549885	64
2L	1135000	1130000-1139999	0.960942181135229	79
2L	1145000	1140000-1149999	0.965360567901432	103
2L	1155000	1150000-1159999	1.09297548733606	89
2L	1165000	1160000-1169999	0.901878189732813	91
2L	1175000	1170000-1179999	1.04683169712058	60
2L	1185000	1180000-1189999	1.04781098071563	108
2L	1195000	1190000-1199999	1.02129001795777	124
2L	1205000	1200000-1209999	0.873692820450098	111
