chrom	position	freq	type	variants_included
2L	50000	63.5320588235294	normal_freq	204
2L	50000	63.4147549019607	tum_freq	204
2L	150000	55.3093298969072	normal_freq	194
2L	150000	54.7711855670103	tum_freq	194
2L	250000	59.0130943396226	normal_freq	265
2L	250000	60.0981886792453	tum_freq	265
2L	350000	64.0762068965517	normal_freq	348
2L	350000	63.6880172413793	tum_freq	348
2L	450000	63.0093109243697	normal_freq	595
2L	450000	63.0358991596639	tum_freq	595
2L	550000	63.038672745694	normal_freq	987
2L	550000	62.9804356636272	tum_freq	987
2L	650000	63.6656842105263	normal_freq	665
2L	650000	63.5674887218044	tum_freq	665
2L	750000	70.4142896174863	normal_freq	732
2L	750000	70.4156420765028	tum_freq	732
2L	850000	68.1851875	normal_freq	800
2L	850000	68.2250375	tum_freq	800
2L	950000	66.9859541188738	normal_freq	959
2L	950000	67.1639728884255	tum_freq	959
2L	1050000	65.4269197584124	normal_freq	1159
2L	1050000	65.4462726488352	tum_freq	1159
2L	1150000	63.594766558089	normal_freq	921
2L	1150000	63.6027144408252	tum_freq	921
2L	1250000	65.6566083916084	normal_freq	858
2L	1250000	64.8315384615385	tum_freq	858
2L	1350000	68.3888395061728	normal_freq	810
2L	1350000	68.1031111111112	tum_freq	810
2L	1450000	61.688125	normal_freq	976
2L	1450000	62.8170081967213	tum_freq	976
2L	1550000	62.1788767123288	normal_freq	730
2L	1550000	60.7497808219178	tum_freq	730
2L	1650000	63.9412708719853	normal_freq	1078
2L	1650000	63.836038961039	tum_freq	1078
2L	1750000	66.3382025819266	normal_freq	1007
2L	1750000	65.6994339622641	tum_freq	1007
2L	1850000	65.3758233890214	normal_freq	838
2L	1850000	65.4994391408115	tum_freq	838
2L	1950000	63.6581386861315	normal_freq	1096
2L	1950000	63.0143065693431	tum_freq	1096
2L	2050000	70.2910989010989	normal_freq	819
2L	2050000	69.9494261294262	tum_freq	819
2L	2150000	64.8429927007299	normal_freq	548
2L	2150000	65.6133394160585	tum_freq	548
2L	2250000	63.0451987767584	normal_freq	654
2L	2250000	62.8491437308869	tum_freq	654
2L	2350000	66.3000239234449	normal_freq	836
2L	2350000	66.3779545454546	tum_freq	836
2L	2450000	62.6376970633694	normal_freq	647
2L	2450000	62.1393199381761	tum_freq	647
2L	2550000	63.0583451059536	normal_freq	991
2L	2550000	63.5833804238144	tum_freq	991
2L	2650000	65.5529464285714	normal_freq	896
2L	2650000	65.5053794642857	tum_freq	896
2L	2750000	63.1440548780487	normal_freq	984
2L	2750000	62.8003556910569	tum_freq	984
2L	2850000	65.7377808471455	normal_freq	1086
2L	2850000	65.3492633517496	tum_freq	1086
2L	2950000	98.6060352422907	normal_freq	454
2L	2950000	98.6391189427313	tum_freq	454
2L	3050000	78.5579729729729	normal_freq	444
2L	3050000	78.251036036036	tum_freq	444
2L	3150000	63.0293544457978	normal_freq	821
2L	3150000	62.5017052375153	tum_freq	821
2L	3250000	63.4490428713859	normal_freq	1003
2L	3250000	64.1226919242273	tum_freq	1003
2L	3350000	78.0210687732342	normal_freq	1076
2L	3350000	77.930250929368	tum_freq	1076
2L	3450000	63.7815398550725	normal_freq	1104
2L	3450000	64.3940489130434	tum_freq	1104
2L	3550000	62.5401150442477	normal_freq	1130
2L	3550000	62.9872300884956	tum_freq	1130
2L	3650000	70.2555220017255	normal_freq	1159
2L	3650000	70.321846419327	tum_freq	1159
2L	3750000	70.7034009009009	normal_freq	888
2L	3750000	70.9992454954955	tum_freq	888
2L	3850000	64.4079400386847	normal_freq	1034
2L	3850000	64.4444390715668	tum_freq	1034
2L	3950000	62.3662214611872	normal_freq	876
2L	3950000	62.3161872146118	tum_freq	876
2L	4050000	66.9821460176992	normal_freq	904
2L	4050000	66.2367477876106	tum_freq	904
2L	4150000	66.4063018867924	normal_freq	1060
2L	4150000	66.2265943396226	tum_freq	1060
2L	4250000	66.1058158158158	normal_freq	999
2L	4250000	66.2025425425426	tum_freq	999
2L	4350000	64.3341646778043	normal_freq	838
2L	4350000	63.9235799522673	tum_freq	838
2L	4450000	67.1743460764587	normal_freq	994
2L	4450000	67.4954728370222	tum_freq	994
2L	4550000	60.9400978473581	normal_freq	511
2L	4550000	60.945107632094	tum_freq	511
2L	4650000	66.7446476510066	normal_freq	596
2L	4650000	67.2289429530201	tum_freq	596
2L	4750000	60.7324538258575	normal_freq	1137
2L	4750000	61.8199824098504	tum_freq	1137
2L	4850000	61.6732122587969	normal_freq	881
2L	4850000	61.4898864926221	tum_freq	881
2L	4950000	61.6839903264813	normal_freq	827
2L	4950000	62.3134824667473	tum_freq	827
2L	5050000	56.9846547884187	normal_freq	449
2L	5050000	56.8766592427617	tum_freq	449
2L	5150000	48.4160732984293	normal_freq	382
2L	5150000	48.3063612565445	tum_freq	382
2L	5250000	57.298893129771	normal_freq	524
2L	5250000	55.3085496183206	tum_freq	524
2L	5350000	66.2848557692308	normal_freq	624
2L	5350000	66.4795833333333	tum_freq	624
2L	5450000	66.3122163865546	normal_freq	952
2L	5450000	66.4994642857143	tum_freq	952
2L	5550000	66.7540315315316	normal_freq	888
2L	5550000	67.2440878378378	tum_freq	888
2L	5650000	67.3312317880794	normal_freq	755
2L	5650000	66.5508079470198	tum_freq	755
2L	5750000	63.7871611253197	normal_freq	782
2L	5750000	64.1386956521739	tum_freq	782
2L	5850000	65.9204236200257	normal_freq	779
