chrom	position	freq	type	variants_included
2L	4650000	50.6154838709677	normal_freq	31
2L	4650000	48.1206451612903	tum_freq	31
2R	5150000	80.7662068965517	normal_freq	29
2R	5150000	77.2131034482759	tum_freq	29
2R	6250000	89.5627692307692	normal_freq	130
2R	6250000	84.0265384615385	tum_freq	130
3L	25450000	68.0716666666667	normal_freq	24
3L	25450000	71.7633333333333	tum_freq	24
3L	27050000	40.2219607843137	normal_freq	51
3L	27050000	38.3994117647059	tum_freq	51
3R	23550000	48.4092307692308	normal_freq	39
3R	23550000	52.7017948717949	tum_freq	39
X	23350000	42.6765	normal_freq	20
X	23350000	40.6365	tum_freq	20
Y	350000	54.02	normal_freq	23
Y	350000	53.1656521739131	tum_freq	23
Y	850000	52.1395833333333	normal_freq	24
Y	850000	47.76	tum_freq	24
Y	950000	43.1119444444444	normal_freq	36
Y	950000	40.7858333333333	tum_freq	36
